seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
41,D,4200,4250,5700,True,38,0.7978,0.0418,4,600
42,D,3650,3700,5750,True,34,0.9098,0.0430,4,600
43,D,3750,3800,5400,True,41,0.6543,0.0404,5,601
44,B,3600,-1,-1,True,11,0.0000,0.1617,9,534
45,D,4550,4600,6000,True,36,0.9302,0.0455,6,595
46,D,3850,3900,5200,True,37,0.8126,0.0399,6,599
47,D,4250,4300,5450,True,39,0.7104,0.0415,7,603
48,D,3950,4150,5700,True,36,0.9089,0.0465,4,596
49,D,3700,3750,5150,True,42,0.6188,0.0435,6,606
50,D,4100,4150,6200,True,46,0.5984,0.0447,5,602
51,D,4350,4400,6000,True,39,0.7607,0.0455,4,599
52,D,4300,4350,5750,True,39,0.7690,0.0411,4,596
53,D,3750,3850,5150,True,36,0.8786,0.0411,4,603
54,D,3850,3900,5450,True,36,0.8750,0.0455,4,604
55,D,5400,5450,6950,True,34,0.9555,0.0435,4,596
56,C,4800,4850,-1,True,42,0.6037,0.0454,4,608
57,D,4700,4750,6550,True,36,0.9305,0.0423,4,590
58,D,3750,3800,5600,True,39,0.7202,0.0468,5,605
59,D,5000,5050,12050,True,41,0.7527,0.0510,5,590
60,D,3950,4200,5150,True,39,0.7649,0.0412,5,593
61,D,5000,5050,14800,True,36,0.9025,0.0418,4,599
62,D,3600,3650,5200,True,38,0.8566,0.0423,5,593
63,D,4850,4900,6050,True,38,0.8394,0.0424,6,605
64,D,4250,4300,5500,True,39,0.7274,0.0406,4,600
65,D,4350,4400,5950,True,38,0.7531,0.0443,5,595
66,D,3850,3900,5350,True,36,0.8341,0.0423,4,601
67,D,4200,4250,5750,True,43,0.6205,0.0441,5,606
68,D,3850,3900,5000,True,40,0.7240,0.0405,5,607
69,D,3650,3700,5450,True,36,0.9304,0.0429,5,591
70,D,3850,4150,5200,True,41,0.7322,0.0386,5,600
71,D,4100,4150,5750,True,39,0.7075,0.0411,4,602
72,D,4250,4300,7550,True,36,0.8064,0.0432,5,602
73,D,4200,4250,5600,True,37,0.7971,0.0436,4,595
74,D,4150,4200,6100,True,40,0.7251,0.0391,4,594
75,D,4200,4250,7650,True,34,0.9324,0.0417,4,597
76,C,4900,4950,-1,True,36,0.9399,0.0412,3,599
77,D,4250,4300,5950,True,38,0.7380,0.0467,6,601
78,D,4350,4400,5700,True,39,0.7543,0.0436,6,599
79,D,4150,4200,9600,True,43,0.5979,0.0423,5,602
80,D,4900,4950,5800,True,39,0.8051,0.0413,6,599
81,D,4300,4350,5900,True,41,0.6833,0.0398,5,595
82,D,3850,3900,5000,True,36,0.7680,0.0396,5,598
83,D,5000,5050,8300,True,37,0.8449,0.0409,4,592
84,C,5000,5050,-1,True,41,0.6205,0.0418,4,597
85,C,7950,8000,-1,True,35,0.9564,0.0444,3,601
86,D,4300,4350,5950,True,44,0.6192,0.0421,4,600
87,D,4150,4200,11800,True,40,0.7096,0.0415,5,602
88,D,3850,3950,5200,True,34,0.9778,0.0444,4,590
89,D,3600,3650,5200,True,37,0.8909,0.0449,4,595
90,D,3650,3700,5750,True,34,0.9511,0.0407,4,599
91,D,3650,4050,4800,True,40,0.6808,0.0432,6,595
92,D,4400,4450,7700,True,42,0.6941,0.0422,4,599
93,D,4100,4150,6000,True,37,0.7652,0.0416,4,603
94,D,3700,4150,5000,True,43,0.6118,0.0426,6,597
95,C,4100,4150,-1,True,39,0.6976,0.0409,4,601
96,D,4300,4350,5950,True,39,0.7016,0.0415,5,602
97,D,3800,3850,4850,True,36,0.9018,0.0408,8,590
98,C,9400,9450,-1,True,36,0.8435,0.0433,3,609
99,D,3750,4100,4900,True,42,0.6646,0.0430,7,592
