seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
35,D,5000,5050,6500,True,47,0.9057,0.0403,5,625
36,D,5100,5150,10750,True,48,0.9326,0.0445,5,622
37,D,4900,4950,7300,True,46,0.9240,0.0415,4,626
38,D,3850,3900,5150,True,46,0.9271,0.0450,5,622
39,B,3450,-1,-1,True,0,0.0000,1.0000,0,381
40,D,4950,5000,6750,True,50,0.8587,0.0450,5,623
41,D,4100,4150,5700,True,46,0.9359,0.0425,4,627
42,D,3700,3750,5700,True,46,0.9057,0.0430,4,631
43,D,3900,3950,5350,True,45,0.9885,0.0440,5,630
44,B,3600,-1,-1,True,23,0.0000,0.2529,9,519
45,D,4350,4400,6100,True,49,0.8547,0.0463,4,633
46,D,3700,3750,5600,True,47,0.9639,0.0420,4,622
47,D,4500,4550,6200,True,49,0.8345,0.0492,5,632
48,D,3800,3850,5700,True,45,0.9890,0.0413,4,630
49,D,3650,3700,5350,True,45,0.9841,0.0408,5,625
50,D,4450,4500,5350,True,51,0.8283,0.0423,4,631
51,D,4450,4500,6500,True,51,0.8038,0.0476,5,626
52,D,4450,4500,6450,True,48,0.8959,0.0428,4,634
53,D,3800,3850,5300,True,44,0.9972,0.0448,5,625
54,D,3850,3900,5400,True,45,0.9850,0.0411,5,623
55,D,11000,11050,13400,True,47,0.9204,0.0449,4,633
56,D,4800,4850,7300,True,47,0.8852,0.0439,4,624
57,D,4500,4550,7000,True,51,0.8285,0.0478,5,628
58,D,3750,3800,5250,True,45,0.9648,0.0439,5,620
59,D,10700,10750,10800,True,46,0.9906,0.0437,5,622
60,D,3950,4000,5000,True,54,0.7604,0.0506,7,625
61,D,12250,12300,12450,True,47,0.9009,0.0429,4,626
62,D,3750,3800,5350,True,52,0.8240,0.0452,5,621
63,D,5050,5100,7250,True,47,0.9239,0.0454,5,616
64,D,4100,4150,6250,True,47,0.8976,0.0431,4,628
65,D,4300,4350,6400,True,48,0.9317,0.0462,4,633
66,D,3850,3900,5350,True,46,0.9471,0.0455,5,629
67,D,4200,4250,6350,True,48,0.8900,0.0408,4,632
68,D,3700,3750,5000,True,48,0.9110,0.0405,6,628
69,D,3950,4000,5150,True,50,0.8393,0.0530,5,627
70,D,3800,3850,5600,True,46,0.9718,0.0457,5,620
71,D,4250,4300,6150,True,50,0.8395,0.0398,4,630
72,D,4150,4200,6250,True,51,0.8113,0.0482,4,635
73,D,3900,3950,5400,True,45,0.9471,0.0444,5,629
74,D,4200,4250,6200,True,52,0.7794,0.0549,4,634
75,D,4150,4200,11850,True,47,0.9343,0.0465,4,631
76,D,4750,4800,7050,True,47,0.9062,0.0409,3,621
77,D,4350,4400,6300,True,51,0.8176,0.0444,5,629
78,D,4150,4200,5900,True,48,0.8899,0.0477,5,629
79,D,4350,4400,6150,True,46,0.9223,0.0431,5,624
80,D,4900,4950,7150,True,51,0.8084,0.0473,4,619
81,D,4450,4500,6250,True,49,0.8690,0.0514,5,631
82,D,3850,3900,5500,True,45,0.9198,0.0431,4,630
83,D,4900,4950,6600,True,48,0.8997,0.0412,4,622
84,D,5000,5050,7450,True,48,0.9011,0.0447,4,621
85,D,11100,11150,13000,True,44,0.9519,0.0404,4,628
86,D,4150,4200,6300,True,50,0.8372,0.0468,4,631
87,D,4350,4400,6150,True,47,0.9362,0.0476,5,632
88,D,3800,3850,4900,True,47,0.9218,0.0441,6,626
89,D,3700,3750,5000,True,49,0.8774,0.0418,6,625
90,D,3900,3950,5400,True,46,0.9318,0.0448,5,627
91,D,3550,3650,4750,True,48,0.9034,0.0429,6,627
92,D,4450,4500,6250,True,45,0.9541,0.0456,4,630
93,D,4400,4450,6400,True,52,0.8159,0.0444,5,633
94,D,3600,3650,4750,True,50,0.8568,0.0440,6,621
95,D,4300,4350,6250,True,50,0.8520,0.0416,5,630
96,D,4350,4400,6200,True,47,0.9469,0.0550,5,635
97,D,3900,3950,4950,True,44,0.9975,0.0419,5,622
98,D,10800,10850,12950,True,45,0.9845,0.0441,4,625
99,D,3850,3900,4850,True,46,0.9198,0.0446,6,627
